#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
100167,"Geübte Hand","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Sowohl Fortschritt als auch Qualität werden beträchtlich erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahlen von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Innere Ruhe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>und<UIGlow>01</UIGlow><UIForeground>01</UIForeground> <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>gleich<UIGlow>01</UIGlow><UIForeground>01</UIForeground> sind.",239,246,1964,-1,0,1,0,False,0,0,100161,100162,100163,100164,100165,100166,100167,100168
100168,"Geübte Hand","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Sowohl Fortschritt als auch Qualität werden beträchtlich erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahlen von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Innere Ruhe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>und<UIGlow>01</UIGlow><UIForeground>01</UIForeground> <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>gleich<UIGlow>01</UIGlow><UIForeground>01</UIForeground> sind.",239,246,1964,-1,0,1,0,False,0,0,100161,100162,100163,100164,100165,100166,100167,100168
100169,"Zufriedenheit","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Verbraucht einen Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, um 15 HP wie<SoftHyphen/>der<SoftHyphen/>her<SoftHyphen/>zu<SoftHyphen/>stel<SoftHyphen/>len.
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahl von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ein <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Vielfaches von 3<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ist.",242,249,1962,-1,0,1,0,False,0,0,100169,100170,100171,100172,100173,100174,100175,100176
100170,"Zufriedenheit","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Verbraucht einen Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, um 15 HP wie<SoftHyphen/>der<SoftHyphen/>her<SoftHyphen/>zu<SoftHyphen/>stel<SoftHyphen/>len.
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahl von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ein <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Vielfaches von 3<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ist.",242,249,1962,-1,0,1,0,False,0,0,100169,100170,100171,100172,100173,100174,100175,100176
100171,"Zufriedenheit","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Verbraucht einen Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, um 15 HP wie<SoftHyphen/>der<SoftHyphen/>her<SoftHyphen/>zu<SoftHyphen/>stel<SoftHyphen/>len.
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahl von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ein <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Vielfaches von 3<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ist.",242,249,1962,-1,0,1,0,False,0,0,100169,100170,100171,100172,100173,100174,100175,100176
100172,"Zufriedenheit","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Verbraucht einen Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, um 15 HP wie<SoftHyphen/>der<SoftHyphen/>her<SoftHyphen/>zu<SoftHyphen/>stel<SoftHyphen/>len.
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahl von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ein <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Vielfaches von 3<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ist.",242,249,1962,-1,0,1,0,False,0,0,100169,100170,100171,100172,100173,100174,100175,100176
100173,"Zufriedenheit","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Verbraucht einen Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, um 15 HP wie<SoftHyphen/>der<SoftHyphen/>her<SoftHyphen/>zu<SoftHyphen/>stel<SoftHyphen/>len.
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahl von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ein <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Vielfaches von 3<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ist.",242,249,1962,-1,0,1,0,False,0,0,100169,100170,100171,100172,100173,100174,100175,100176
100174,"Zufriedenheit","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Verbraucht einen Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, um 15 HP wie<SoftHyphen/>der<SoftHyphen/>her<SoftHyphen/>zu<SoftHyphen/>stel<SoftHyphen/>len.
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahl von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ein <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Vielfaches von 3<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ist.",242,249,1962,-1,0,1,0,False,0,0,100169,100170,100171,100172,100173,100174,100175,100176
100175,"Zufriedenheit","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Verbraucht einen Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, um 15 HP wie<SoftHyphen/>der<SoftHyphen/>her<SoftHyphen/>zu<SoftHyphen/>stel<SoftHyphen/>len.
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahl von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ein <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Vielfaches von 3<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ist.",242,249,1962,-1,0,1,0,False,0,0,100169,100170,100171,100172,100173,100174,100175,100176
100176,"Zufriedenheit","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Verbraucht einen Status <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, um 15 HP wie<SoftHyphen/>der<SoftHyphen/>her<SoftHyphen/>zu<SoftHyphen/>stel<SoftHyphen/>len.
Erfolgswahrscheinlichkeit: 100<Indent/>%
Nur einsetzbar, wenn die Stapelzahl von <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ein <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Vielfaches von 3<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ist.",242,249,1962,-1,0,1,0,False,0,0,100169,100170,100171,100172,100173,100174,100175,100176
100177,"Letzter Schliff","",241,248,1529,-1,33,1,0,False,0,0,100177,100177,100177,100177,100177,100177,100177,100177
100178,"Kunst des Kundigen","<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Makellose Bearbeitung<UIGlow>01</UIGlow><UIForeground>01</UIForeground> verbraucht keine HP und die Belastbarkeit sinkt nicht. Dauer des Effekts abhängig vom Schwie<SoftHyphen/>rig<SoftHyphen/>keits<SoftHyphen/>grad des Rezepts (Maximum: 25 Arbeits<SoftHyphen/>schritte).
Nur beim <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>ersten Arbeitsschritt<UIGlow>01</UIGlow><UIForeground>01</UIForeground> einsetzbar.",242,249,1677,-1,0,1,0,False,0,0,100178,100178,100178,100178,100178,100178,100178,100178
100179,"Seele des Zimmerers","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Für 7 Arbeits<SoftHyphen/>schritte erhöhte Chance auf Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Verbraucht eine <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Zimmerer-Abhandlung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Kann bis zu <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>5 Mal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pro Synthese ausgeführt werden.",4655,4656,1969,-1,0,1,0,False,879,0,100179,100180,100181,100182,100183,100184,100185,100186
100180,"Seele des Grobschmieds","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Für 7 Arbeits<SoftHyphen/>schritte erhöhte Chance auf Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Verbraucht eine <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Grobschmied-Abhandlung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Kann bis zu <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>5 Mal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pro Synthese ausgeführt werden.",4655,4656,1969,-1,0,1,0,False,879,0,100179,100180,100181,100182,100183,100184,100185,100186
100181,"Seele des Plattners","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Für 7 Arbeits<SoftHyphen/>schritte erhöhte Chance auf Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Verbraucht eine <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Plattner-Abhandlung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Kann bis zu <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>5 Mal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pro Synthese ausgeführt werden.",4655,4656,1969,-1,0,1,0,False,879,0,100179,100180,100181,100182,100183,100184,100185,100186
100182,"Seele des Goldschmieds","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Für 7 Arbeits<SoftHyphen/>schritte erhöhte Chance auf Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Verbraucht eine <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Goldschmied-Abhandlung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Kann bis zu <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>5 Mal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pro Synthese ausgeführt werden.",4655,4656,1969,-1,0,1,0,False,879,0,100179,100180,100181,100182,100183,100184,100185,100186
100183,"Seele des Gerbers","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Für 7 Arbeits<SoftHyphen/>schritte erhöhte Chance auf Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Verbraucht eine <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gerber-Abhandlung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Kann bis zu <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>5 Mal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pro Synthese ausgeführt werden.",4655,4656,1969,-1,0,1,0,False,879,0,100179,100180,100181,100182,100183,100184,100185,100186
100184,"Seele des Webers","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Für 7 Arbeits<SoftHyphen/>schritte erhöhte Chance auf Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Verbraucht eine <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Weber-Abhandlung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Kann bis zu <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>5 Mal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pro Synthese ausgeführt werden.",4655,4656,1969,-1,0,1,0,False,879,0,100179,100180,100181,100182,100183,100184,100185,100186
100185,"Seele des Alchemisten","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Für 7 Arbeits<SoftHyphen/>schritte erhöhte Chance auf Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Verbraucht eine <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Alchemisten-Abhandlung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Kann bis zu <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>5 Mal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pro Synthese ausgeführt werden.",4655,4656,1969,-1,0,1,0,False,879,0,100179,100180,100181,100182,100183,100184,100185,100186
100186,"Seele des Gourmets","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Für 7 Arbeits<SoftHyphen/>schritte erhöhte Chance auf Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Verbraucht eine <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gourmet-Abhandlung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Kann bis zu <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>5 Mal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pro Synthese ausgeführt werden.",4655,4656,1969,-1,0,1,0,False,879,0,100179,100180,100181,100182,100183,100184,100185,100186
100187,"Trällern","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Gewährt einen Stapel von 11 <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Für jeden Arbeitsschritt bei Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder höher wird je ein „Trällern“ verbraucht. Ist die Stapelzahl ein Vielfaches von 3, sind einige <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Bearbeitungs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>-Kommandos effektiver, bei Verbrauch des letzten Status wird <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Letzter Schliff<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ausgeführt, wodurch die Belastbarkeit sinkt und die Arbeit beträchtlich voranschreitet.
Effizienz von Letzter Schliff: 200
Erfolgswahrscheinlichkeit: 50 %",242,249,1961,-1,0,1,0,False,880,0,100187,100188,100189,100190,100191,100192,100193,100194
100188,"Trällern","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Gewährt einen Stapel von 11 <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Für jeden Arbeitsschritt bei Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder höher wird je ein „Trällern“ verbraucht. Ist die Stapelzahl ein Vielfaches von 3, sind einige <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Bearbeitungs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>-Kommandos effektiver, bei Verbrauch des letzten Status wird <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Letzter Schliff<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ausgeführt, wodurch die Belastbarkeit sinkt und die Arbeit beträchtlich voranschreitet.
Effizienz von Letzter Schliff: 200
Erfolgswahrscheinlichkeit: 50 %",242,249,1961,-1,0,1,0,False,880,0,100187,100188,100189,100190,100191,100192,100193,100194
100189,"Trällern","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Gewährt einen Stapel von 11 <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Für jeden Arbeitsschritt bei Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder höher wird je ein „Trällern“ verbraucht. Ist die Stapelzahl ein Vielfaches von 3, sind einige <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Bearbeitungs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>-Kommandos effektiver, bei Verbrauch des letzten Status wird <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Letzter Schliff<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ausgeführt, wodurch die Belastbarkeit sinkt und die Arbeit beträchtlich voranschreitet.
Effizienz von Letzter Schliff: 200
Erfolgswahrscheinlichkeit: 50 %",242,249,1961,-1,0,1,0,False,880,0,100187,100188,100189,100190,100191,100192,100193,100194
100190,"Trällern","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Gewährt einen Stapel von 11 <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Für jeden Arbeitsschritt bei Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder höher wird je ein „Trällern“ verbraucht. Ist die Stapelzahl ein Vielfaches von 3, sind einige <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Bearbeitungs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>-Kommandos effektiver, bei Verbrauch des letzten Status wird <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Letzter Schliff<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ausgeführt, wodurch die Belastbarkeit sinkt und die Arbeit beträchtlich voranschreitet.
Effizienz von Letzter Schliff: 200
Erfolgswahrscheinlichkeit: 50 %",242,249,1961,-1,0,1,0,False,880,0,100187,100188,100189,100190,100191,100192,100193,100194
100191,"Trällern","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Gewährt einen Stapel von 11 <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Für jeden Arbeitsschritt bei Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder höher wird je ein „Trällern“ verbraucht. Ist die Stapelzahl ein Vielfaches von 3, sind einige <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Bearbeitungs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>-Kommandos effektiver, bei Verbrauch des letzten Status wird <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Letzter Schliff<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ausgeführt, wodurch die Belastbarkeit sinkt und die Arbeit beträchtlich voranschreitet.
Effizienz von Letzter Schliff: 200
Erfolgswahrscheinlichkeit: 50 %",242,249,1961,-1,0,1,0,False,880,0,100187,100188,100189,100190,100191,100192,100193,100194
100192,"Trällern","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Gewährt einen Stapel von 11 <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Für jeden Arbeitsschritt bei Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder höher wird je ein „Trällern“ verbraucht. Ist die Stapelzahl ein Vielfaches von 3, sind einige <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Bearbeitungs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>-Kommandos effektiver, bei Verbrauch des letzten Status wird <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Letzter Schliff<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ausgeführt, wodurch die Belastbarkeit sinkt und die Arbeit beträchtlich voranschreitet.
Effizienz von Letzter Schliff: 200
Erfolgswahrscheinlichkeit: 50 %",242,249,1961,-1,0,1,0,False,880,0,100187,100188,100189,100190,100191,100192,100193,100194
100193,"Trällern","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Gewährt einen Stapel von 11 <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Für jeden Arbeitsschritt bei Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder höher wird je ein „Trällern“ verbraucht. Ist die Stapelzahl ein Vielfaches von 3, sind einige <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Bearbeitungs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>-Kommandos effektiver, bei Verbrauch des letzten Status wird <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Letzter Schliff<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ausgeführt, wodurch die Belastbarkeit sinkt und die Arbeit beträchtlich voranschreitet.
Effizienz von Letzter Schliff: 200
Erfolgswahrscheinlichkeit: 50 %",242,249,1961,-1,0,1,0,False,880,0,100187,100188,100189,100190,100191,100192,100193,100194
100194,"Trällern","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Spezialistenkommando<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Gewährt einen Stapel von 11 <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Trällern<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Für jeden Arbeitsschritt bei Materialzustand <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gut<UIGlow>01</UIGlow><UIForeground>01</UIForeground> oder höher wird je ein „Trällern“ verbraucht. Ist die Stapelzahl ein Vielfaches von 3, sind einige <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Bearbeitungs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>-Kommandos effektiver, bei Verbrauch des letzten Status wird <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Letzter Schliff<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ausgeführt, wodurch die Belastbarkeit sinkt und die Arbeit beträchtlich voranschreitet.
Effizienz von Letzter Schliff: 200
Erfolgswahrscheinlichkeit: 50 %",242,249,1961,-1,0,1,0,False,880,0,100187,100188,100189,100190,100191,100192,100193,100194
100195,"Hastige Veredelung II","Die Qualität wird erhöht.
Effizienz: 100
Erfolgswahrscheinlichkeit: 60 %",241,248,1973,-1,0,1,0,False,0,0,100195,100196,100197,100198,100199,100200,100201,100202
100196,"Hastige Veredelung II","Die Qualität wird erhöht.
Effizienz: 100
Erfolgswahrscheinlichkeit: 60 %",241,248,1973,-1,0,1,0,False,0,0,100195,100196,100197,100198,100199,100200,100201,100202
100197,"Hastige Veredelung II","Die Qualität wird erhöht.
Effizienz: 100
Erfolgswahrscheinlichkeit: 60 %",241,248,1973,-1,0,1,0,False,0,0,100195,100196,100197,100198,100199,100200,100201,100202
100198,"Hastige Veredelung II","Die Qualität wird erhöht.
Effizienz: 100
Erfolgswahrscheinlichkeit: 60 %",241,248,1973,-1,0,1,0,False,0,0,100195,100196,100197,100198,100199,100200,100201,100202
